"","line","yield","location","set"
"316","STREAKER",80.8578,"state","2017"
"317","SUMO",98.1825,"state","2017"
"318","mean",121.049214814815,"state","2017"
"319","lsd0.1",21.69893,"state","2017"
"320","BADGER",140.0412,"crk","2017_2016"
"321","BETAGENE",153.1948,"crk","2017_2016"
"322","COLT",120.3411,"crk","2017_2016"
"323","CS_CAMDEN",141.5038,"crk","2017_2016"
"324","DEON",148.5477,"crk","2017_2016"
"325","ESKER",147.9237,"crk","2017_2016"
"326","GOLIATH",145.1213,"crk","2017_2016"
"327","HAYDEN",166.889,"crk","2017_2016"
"328","HORSEPOWER",146.1103,"crk","2017_2016"
"329","JURY",151.025,"crk","2017_2016"
"330","MN11139",144.6437,"crk","2017_2016"
"331","MN11211",140.9107,"crk","2017_2016"
"332","MNBT1020-1",158.4804,"crk","2017_2016"
"333","MNBT1021-1",159.5457,"crk","2017_2016"
"334","MNBT1021-2",143.2962,"crk","2017_2016"
"335","NATTY",153.6634,"crk","2017_2016"
"336","NEWBURG",148.7027,"crk","2017_2016"
"337","REINS",149.0744,"crk","2017_2016"
"338","ROCKFORD",144.9631,"crk","2017_2016"
"339","RON",148.2845,"crk","2017_2016"
"340","SABER",156.9099,"crk","2017_2016"
"341","SHELBY_427",139.0343,"crk","2017_2016"
"342","SOURIS",149.7679,"crk","2017_2016"
"343","STREAKER",122.4782,"crk","2017_2016"
"344","mean",146.685541666667,"crk","2017_2016"
"345","lsd0.1",15.2736,"crk","2017_2016"
"346","BADGER",126.1325,"lam","2017_2016"
"347","BETAGENE",145.5715,"lam","2017_2016"
"348","COLT",110.0967,"lam","2017_2016"
"349","CS_CAMDEN",147.9,"lam","2017_2016"
"350","DEON",169.091,"lam","2017_2016"
"351","ESKER",142.7865,"lam","2017_2016"
"352","GOLIATH",140.6328,"lam","2017_2016"
"353","HAYDEN",149.6682,"lam","2017_2016"
"354","HORSEPOWER",120.5512,"lam","2017_2016"
"355","JURY",140.8517,"lam","2017_2016"
"356","MN11139",162.2576,"lam","2017_2016"
"357","MN11211",152.323,"lam","2017_2016"
"358","MNBT1020-1",170.7789,"lam","2017_2016"
"359","MNBT1021-1",152.6008,"lam","2017_2016"
"360","MNBT1021-2",146.9515,"lam","2017_2016"
"361","NATTY",143.1789,"lam","2017_2016"
"362","NEWBURG",141.7442,"lam","2017_2016"
"363","REINS",128.9734,"lam","2017_2016"
"364","ROCKFORD",128.4284,"lam","2017_2016"
"365","RON",151.094,"lam","2017_2016"
"366","SABER",157.331,"lam","2017_2016"
"367","SHELBY_427",125.2109,"lam","2017_2016"
"368","SOURIS",127.7432,"lam","2017_2016"
"369","STREAKER",113.2879,"lam","2017_2016"
"370","mean",141.466075,"lam","2017_2016"
"371","lsd0.1",14.67944,"lam","2017_2016"
"372","BADGER",154.132,"lec","2017_2016"
"373","BETAGENE",140.8663,"lec","2017_2016"
"374","COLT",131.4728,"lec","2017_2016"
"375","CS_CAMDEN",155.5935,"lec","2017_2016"
"376","DEON",147.4436,"lec","2017_2016"
"377","ESKER",111.7488,"lec","2017_2016"
"378","GOLIATH",132.8935,"lec","2017_2016"
"379","HAYDEN",144.2494,"lec","2017_2016"
"380","HORSEPOWER",128.2821,"lec","2017_2016"
"381","JURY",133.3045,"lec","2017_2016"
"382","MN11139",120.1941,"lec","2017_2016"
"383","MN11211",161.179,"lec","2017_2016"
"384","MNBT1020-1",144.8325,"lec","2017_2016"
"385","MNBT1021-1",145.9977,"lec","2017_2016"
"386","MNBT1021-2",156.0249,"lec","2017_2016"
"387","NATTY",140.3858,"lec","2017_2016"
"388","NEWBURG",142.4251,"lec","2017_2016"
"389","REINS",157.8513,"lec","2017_2016"
"390","ROCKFORD",113.4264,"lec","2017_2016"
"391","RON",153.9075,"lec","2017_2016"
"392","SABER",156.1576,"lec","2017_2016"
"393","SHELBY_427",136.128,"lec","2017_2016"
"394","SOURIS",114.1606,"lec","2017_2016"
"395","STREAKER",69.8086,"lec","2017_2016"
"396","mean",137.186066666667,"lec","2017_2016"
"397","lsd0.1",25.65915,"lec","2017_2016"
"398","BADGER",173.6091,"rse","2017_2016"
"399","BETAGENE",183.5515,"rse","2017_2016"
"400","COLT",161.2356,"rse","2017_2016"
"401","CS_CAMDEN",198.708,"rse","2017_2016"
"402","DEON",199.7472,"rse","2017_2016"
"403","ESKER",169.7604,"rse","2017_2016"
"404","GOLIATH",151.8663,"rse","2017_2016"
"405","HAYDEN",201.458,"rse","2017_2016"
"406","HORSEPOWER",189.5083,"rse","2017_2016"
"407","JURY",168.4434,"rse","2017_2016"
