line,value,variable
LEGGETT,90.29103024,height_BLUE
p251,90.34470855,height_BLUE
P021A1-25-53,90.3773186,height_BLUE
p238,90.37823627,height_BLUE
p255,90.42339053,height_BLUE
p119,90.44789257,height_BLUE
p28,90.47630891,height_BLUE
SD030888,90.50347136,height_BLUE
p23,90.8101211,height_BLUE
SD100198,90.81179065,height_BLUE
COLT,90.92487444,height_BLUE
p106,90.96525012,height_BLUE
p237,91.0880327,height_BLUE
IA01005-2,91.22824943,height_BLUE
p108,91.24856047,height_BLUE
SD090893,91.27494007,height_BLUE
MN03114,91.31140551,height_BLUE
MNBT1021-1,91.39608991,height_BLUE
p193,91.47674503,height_BLUE
p120,91.52169845,height_BLUE
WIX8787-3,91.71850639,height_BLUE
SD61081,91.81502023,height_BLUE
ND040196,91.96738011,height_BLUE
p178,91.98624734,height_BLUE
p209,92.01040636,height_BLUE
IA02130-2-3,92.01744483,height_BLUE
SD60130,92.02971982,height_BLUE
WIX9287-2,92.04066794,height_BLUE
p224,92.05524327,height_BLUE
p113,92.0872133,height_BLUE
p135,92.18380113,height_BLUE
p177,92.19821029,height_BLUE
p190,92.2024634,height_BLUE
LAO-1012-040,92.24402224,height_BLUE
DON,92.27330354,height_BLUE
p59,92.37912401,height_BLUE
SD041405,92.41241925,height_BLUE
